Title,Ingredients,Preparation,Benefits,Category
Atiar,"
- Herbal powder blend containing herbs like amla
- haritaki
- and fennel (sof)Preparation: Have half to  teaspoon of atiar churna about  minutes before your meal Mix the churna with a small amount of honey or warm water to make a paste Drink a glass of water after having churnaHealth Benefits: Balances Pitta dosha and eases acidity..
- soothes the digestive tract
- reduces acid production
- amla and haritaki are rich in antioxidants and have anti- inflammatory properties
- protecting the stomach lining
- fennel aids digestion by relaxing gastrointestinal muscles and helps in expulsion of gas","
- Have half to  teaspoon of atiar churna about  minutes before your meal Mix the churna with a small amount of honey or warm water to make a paste Drink a glass of water after having churna","
- Balances Pitta dosha and eases acidity
- soothes the digestive tract
- reduces acid production
- amla and haritaki are rich in antioxidants and have anti- inflammatory properties
- protecting the stomach lining
- fennel aids digestion by relaxing gastrointestinal muscles and helps in expulsion of gas Have half to  teaspoon of atiar churna about  minutes before your meal Mix the churna with a small amount of honey or warm water to make a paste Drink a glass of water after having churnaHealth Benefits: Balances Pitta dosha and eases acidity
- soothes the digestive tract
- reduces acid production
- amla and haritaki are rich in antioxidants and have anti- inflammatory properties
- protecting the stomach lining
- fennel aids digestion by relaxing gastrointestinal muscles and helps in expulsion of gas Balances Pitta dosha and eases acidity
- soothes the digestive tract
- reduces acid production
- amla and haritaki are rich in antioxidants and have anti- inflammatory properties
- protecting the stomach lining
- fennel aids digestion by relaxing gastrointestinal muscles and helps in expulsion of gas",Digestive
Remedy: One teaspoon licorice powder,"
- One teaspoon licorice powder
- one cup boiling waterPreparation: Add licorice powder to boiling water to make an infusion
- and sip it once or twice a day after mealsHealth Benefits: Contains glycyrrhizin
- which possesses anti-inflammatory effects on the digestive tract
- helps increase the production of mucin
- a protective substance that lines the stomach and prevents damage from excess acidCaution: Can interact with certain medications and medical conditions (high blood pressure
- heart issues
- pregnancy)","
- Add licorice powder to boiling water to make an infusion, and sip it once or twice a day after meals","
- Contains glycyrrhizin
- which possesses anti-inflammatory effects on the digestive tract
- helps increase the production of mucin
- a protective substance that lines the stomach and prevents damage from excess acidCaution: Can interact with certain medications and medical conditions (high blood pressure
- heart issues
- pregnancy) Add licorice powder to boiling water to make an infusion
- and sip it once or twice a day after mealsHealth Benefits: Contains glycyrrhizin
- which possesses anti-inflammatory effects on the digestive tract
- helps increase the production of mucin
- a protective substance that lines the stomach and prevents damage from excess acidCaution: Can interact with certain medications and medical conditions (high blood pressure
- heart issues
- pregnancy) Contains glycyrrhizin
- which possesses anti-inflammatory effects on the digestive tract
- helps increase the production of mucin
- a protective substance that lines the stomach and prevents damage from excess acidCaution: Can interact with certain medications and medical conditions (high blood pressure
- heart issues
- pregnancy)",Skin Care
Mint Pudina) Tea,,"
- Drop mint leaves in boiling water to prepare tea Add a slice of lemon for a refreshing twist (be mindful if sensitive to citrus) Consume warm or at room temperatureHealth Benefits: Relieves indigestion and calms the stomach, contains menthol with muscle relaxant properties that can help ease digestive discomfort, aids in the movement of food through the digestive tract, reducing chances of acid refluxSource ""Ayurvedic solutions to get relief from migraine pain | headaches remedies | Dr.
- Hansaji""","
- Relieves indigestion and calms the stomach
- contains menthol with muscle relaxant properties that can help ease digestive discomfort
- aids in the movement of food through the digestive tract
- reducing chances of acid refluxSource ""Ayurvedic solutions to get relief from migraine pain | headaches remedies | Dr
- Hansaji"" Relieves indigestion and calms the stomach
- contains menthol with muscle relaxant properties that can help ease digestive discomfort
- aids in the movement of food through the digestive tract
- reducing chances of acid refluxSource ""Ayurvedic solutions to get relief from migraine pain | headaches remedies | Dr
- Hansaji""",Digestive
Remedy: Ashwagandha powder or tabletPreparation: Take a teaspoon,"
- Ashwagandha powder or tabletPreparation: Take a teaspoon full of ashwagandha powder or a tablet before going to sleep at night with milk or waterHealth Benefits: Helps the body adjust to stress
- reduces the frequency and intensity of migraine
- is anti- inflammatory and can calm migraine-related inflammation","
- Take a teaspoon full of ashwagandha powder or a tablet before going to sleep at night with milk or water","
- Helps the body adjust to stress
- reduces the frequency and intensity of migraine
- is anti- inflammatory and can calm migraine-related inflammation Take a teaspoon full of ashwagandha powder or a tablet before going to sleep at night with milk or waterHealth Benefits: Helps the body adjust to stress
- reduces the frequency and intensity of migraine
- is anti- inflammatory and can calm migraine-related inflammation Helps the body adjust to stress
- reduces the frequency and intensity of migraine
- is anti- inflammatory and can calm migraine-related inflammation",General Wellness
Brahmi,"
- Fresh brahmi leaves or brahmi capsules
- tablets
- or powderPreparation: Consume one fresh brahmi leaf every day Alternatively
- take a ¼ teaspoon of brahmi powder daily along with meals or boil brahmi powder with water and consume as a teaHealth Benefits: Good for the nervous system
- brings down anxiety and promotes calmness
- which can help prevent migraineSource ""Best Home Remedies for Anemia by Dr. Hansaji Yogendra""","
- Consume one fresh brahmi leaf every day Alternatively, take a ¼ teaspoon of brahmi powder daily along with meals or boil brahmi powder with water and consume as a tea","
- Good for the nervous system
- brings down anxiety and promotes calmness
- which can help prevent migraineSource ""Best Home Remedies for Anemia by Dr
- Hansaji Yogendra"" Consume one fresh brahmi leaf every day Alternatively
- take a ¼ teaspoon of brahmi powder daily along with meals or boil brahmi powder with water and consume as a teaHealth Benefits: Good for the nervous system
- brings down anxiety and promotes calmness
- which can help prevent migraineSource ""Best Home Remedies for Anemia by Dr
- Hansaji Yogendra"" Good for the nervous system
- brings down anxiety and promotes calmness
- which can help prevent migraineSource ""Best Home Remedies for Anemia by Dr
- Hansaji Yogendra""",General Wellness
"Beetroot, Spinach, and Lemon","
- Beetroot
- spinach
- lemon juicePreparation: Extract the juice of beetroot and spinach. Add lemon juice to it Drink one glass dailyHealth Benefits: Rich in iron
- calcium
- copper
- and vitamins B
- B
- folate)
- which are essential for developing and improving red blood cells","
- Extract the juice of beetroot and spinach.
- Add lemon juice to it Drink one glass daily","
- Rich in iron
- calcium
- copper
- and vitamins B
- folate)
- which are essential for developing and improving red blood cells Extract the juice of beetroot and spinach
- Add lemon juice to it Drink one glass dailyHealth Benefits: Rich in iron
- calcium
- copper
- and vitamins B
- folate)
- which are essential for developing and improving red blood cells Rich in iron
- calcium
- copper
- and vitamins B
- folate)
- which are essential for developing and improving red blood cells",General Wellness
Black Sesame Seeds and Jaggery,,"
- Roast black sesame seeds slightly.
- Consume them as is, twist with cereal, or make sweets with jaggeryHealth Benefits: Black sesame seeds are rich in iron, copper, zinc, Vitamin B, and folic acid, which boost hemoglobin content and help in maintaining iron levelsSource ""Best Natural Home Remedies for Wrinkles | Anti-Aging | Get Soft and Smooth Hands""","
- Black sesame seeds are rich in iron
- copper
- zinc
- Vitamin B
- and folic acid
- which boost hemoglobin content and help in maintaining iron levelsSource ""Best Natural Home Remedies for Wrinkles | Anti-Aging | Get Soft and Smooth Hands"" Black sesame seeds are rich in iron
- copper
- zinc
- Vitamin B
- and folic acid
- which boost hemoglobin content and help in maintaining iron levelsSource ""Best Natural Home Remedies for Wrinkles | Anti-Aging | Get Soft and Smooth Hands""",Skin Care
"Banana, Aloe, and Olive Oil","
- One ripe banana (mashed)
- one tablespoon full of aloe vera gel
- one tablespoon olive oil (can substitute with coconut oil
- jojoba
- almond oils)Preparation: Mix all ingredients to form a paste Apply a generous amount all over your hands
- especially on the palm and back of the palm Leave it for  minutes and wash it out with warm waterHealth Benefits: Moisturizes Untitled  instantly
- aloe vera contains Vitamin E for healing skin damage and promoting a healthy glow
- banana hydrates dull and dry skin and includes Vitamin A for fading dark spots and preventing aging
- olive oil boosts collagen production","
- Mix all ingredients to form a paste Apply a generous amount all over your hands, especially on the palm and back of the palm Leave it for  minutes and wash it out with warm water","
- Moisturizes Untitled  instantly
- aloe vera contains Vitamin E for healing skin damage and promoting a healthy glow
- banana hydrates dull and dry skin and includes Vitamin A for fading dark spots and preventing aging
- olive oil boosts collagen production Mix all ingredients to form a paste Apply a generous amount all over your hands
- especially on the palm and back of the palm Leave it for  minutes and wash it out with warm waterHealth Benefits: Moisturizes Untitled  instantly
- aloe vera contains Vitamin E for healing skin damage and promoting a healthy glow
- banana hydrates dull and dry skin and includes Vitamin A for fading dark spots and preventing aging
- olive oil boosts collagen production Moisturizes Untitled  instantly
- aloe vera contains Vitamin E for healing skin damage and promoting a healthy glow
- banana hydrates dull and dry skin and includes Vitamin A for fading dark spots and preventing aging
- olive oil boosts collagen production",Skin Care
Sugar and Coconut Oil Scrub,,"
- Mix sugar crystals and coconut oil well Apply in a circular motion on the skin, keep for  minutes, and then wash it offHealth Benefits: Exfoliates dead skin, makes hands smooth, nourishes skin, and makes it glow","
- Exfoliates dead skin
- makes hands smooth
- nourishes skin
- and makes it glow Exfoliates dead skin
- makes hands smooth
- nourishes skin
- and makes it glow",Skin Care
Rice Flour and Rose Water,"
- Rice flour
- rose waterPreparation: Mix rice flour with rose water to make a scrub Apply in a circular motion on the skin
- keep for  minutes
- and then wash it offHealth Benefits: Exfoliates dead skin
- makes skin radiant and healthy-lookingSource ""Best Tips on How to Overcome Constipation | Dr. Hansaji Yogendra""","
- Mix rice flour with rose water to make a scrub Apply in a circular motion on the skin, keep for  minutes, and then wash it off","
- Exfoliates dead skin
- makes skin radiant and healthy-lookingSource ""Best Tips on How to Overcome Constipation | Dr
- Hansaji Yogendra"" Mix rice flour with rose water to make a scrub Apply in a circular motion on the skin
- keep for  minutes
- and then wash it offHealth Benefits: Exfoliates dead skin
- makes skin radiant and healthy-lookingSource ""Best Tips on How to Overcome Constipation | Dr
- Hansaji Yogendra"" Exfoliates dead skin
- makes skin radiant and healthy-lookingSource ""Best Tips on How to Overcome Constipation | Dr
- Hansaji Yogendra""",Skin Care
Warm,"
- Warm waterPreparation: Drink warm water first thing in the morningHealth Benefits: Helps in easy bowel movements","
- Drink warm water first thing in the morning","
- Helps in easy bowel movements Drink warm water first thing in the morningHealth Benefits: Helps in easy bowel movements Helps in easy bowel movements",General Wellness
Remedy: Water,"
- Water
- lemon juicePreparation: Drink water with lemon juiceHealth Benefits: Works wonders for constipation","
- Drink water with lemon juice","
- Works wonders for constipation Drink water with lemon juiceHealth Benefits: Works wonders for constipation Works wonders for constipation",Digestive
"Water, Lemon Juice, Honey, Pepper,","
- Water
- lemon juice
- honey
- a pinch of pepper
- a little turmericPreparation: Mix all ingredients in a glass of water and drink before going to bedHealth Benefits: Aids in bowel movementsSource ""Clear Acne at home | Acne Removal Skincare | Quick Pimple removal remedies""","
- Mix all ingredients in a glass of water and drink before going to bed","
- Aids in bowel movementsSource ""Clear Acne at home | Acne Removal Skincare | Quick Pimple removal remedies"" Mix all ingredients in a glass of water and drink before going to bedHealth Benefits: Aids in bowel movementsSource ""Clear Acne at home | Acne Removal Skincare | Quick Pimple removal remedies"" Aids in bowel movementsSource ""Clear Acne at home | Acne Removal Skincare | Quick Pimple removal remedies""",Skin Care
Avocado Spirulina Smoothie,,"
- Blend the avocado and spirulina powder to make a smoothie Consume regularlyHealth Benefits: Avocado (rich in Vitamin C and E helps in skin repair and hydration Spirulina is nutrient-dense, has anti-inflammatory properties, helps build collagen, and promotes detoxification Together, they fight acne from within","
- Avocado (rich in Vitamin C and E helps in skin repair and hydration Spirulina is nutrient-dense
- has anti-inflammatory properties
- helps build collagen
- and promotes detoxification Together
- they fight acne from within Avocado (rich in Vitamin C and E helps in skin repair and hydration Spirulina is nutrient-dense
- has anti-inflammatory properties
- helps build collagen
- and promotes detoxification Together
- they fight acne from within",Skin Care
Alum and Rose Water Toner,,"
- Dissolve alum powder in rose water Dab it on cleansed skin using a cotton pad dailyHealth Benefits: Alum (astringent and antibacterial) helps tighten pores, preventing clogging and formation of pimples, and reduces excess oil production Rose water (soothing and hydrating) reduces inflammation and skin flare-ups","
- Alum (astringent and antibacterial) helps tighten pores
- preventing clogging and formation of pimples
- and reduces excess oil production Rose water (soothing and hydrating) reduces inflammation and skin flare-ups Alum (astringent and antibacterial) helps tighten pores
- preventing clogging and formation of pimples
- and reduces excess oil production Rose water (soothing and hydrating) reduces inflammation and skin flare-ups",Skin Care
Ayurvedic Manjistha and,"
- Cus or Khus root
- powdered ManjisthaPreparation: Soak Cus or Khus root overnight in water Next Untitled  morning
- mix this water with powdered Manjistha to create a smooth paste Apply it to cleansed skin
- leave for  minutes
- and then rinse off with warm water Use weeklyHealth Benefits: Manjistha (anti-inflammatory and detoxifying) is good for acne-prone skin Chandan or Sandalwood (cooling and soothing) reduces inflammation and irritation Cleanses
- nourishes
- and rejuvenates the skin","
- Soak Cus or Khus root overnight in water Next Untitled  morning, mix this water with powdered Manjistha to create a smooth paste Apply it to cleansed skin, leave for  minutes, and then rinse off with warm water Use weekly","
- Manjistha (anti-inflammatory and detoxifying) is good for acne-prone skin Chandan or Sandalwood (cooling and soothing) reduces inflammation and irritation Cleanses
- nourishes
- and rejuvenates the skin Soak Cus or Khus root overnight in water Next Untitled  morning
- mix this water with powdered Manjistha to create a smooth paste Apply it to cleansed skin
- leave for  minutes
- and then rinse off with warm water Use weeklyHealth Benefits: Manjistha (anti-inflammatory and detoxifying) is good for acne-prone skin Chandan or Sandalwood (cooling and soothing) reduces inflammation and irritation Cleanses
- nourishes
- and rejuvenates the skin Manjistha (anti-inflammatory and detoxifying) is good for acne-prone skin Chandan or Sandalwood (cooling and soothing) reduces inflammation and irritation Cleanses
- nourishes
- and rejuvenates the skin",Skin Care
Coconut Oil as Natural,"
- Coconut oilPreparation: Use coconut oil as a natural sunscreen when stepping outHealth Benefits: Protects skin from UV damageSource ""DIY Remedies for acne | Natural Beauty | Dr. Hansaji Yogendra""","
- Use coconut oil as a natural sunscreen when stepping out","
- Protects skin from UV damageSource ""DIY Remedies for acne | Natural Beauty | Dr
- Hansaji Yogendra"" Use coconut oil as a natural sunscreen when stepping outHealth Benefits: Protects skin from UV damageSource ""DIY Remedies for acne | Natural Beauty | Dr
- Hansaji Yogendra"" Protects skin from UV damageSource ""DIY Remedies for acne | Natural Beauty | Dr
- Hansaji Yogendra""",Skin Care
Honey,,"
- Good moisturizer, keeps skin moist and soft","
- Good moisturizer
- keeps skin moist and soft",Skin Care
Aloe Vera Gel with Turmeric or Green Tea,,"
- Take a little aloe vera gel, add turmeric, or add green tea Apply on the face, stay for some time, and then wash it outHealth Benefits: Helps reduce inflammation and remove bacteria from the skin, allowing skin to heal naturally, helps remove excess oil and gives good health to the skin","
- Helps reduce inflammation and remove bacteria from the skin
- allowing skin to heal naturally
- helps remove excess oil and gives good health to the skin Helps reduce inflammation and remove bacteria from the skin
- allowing skin to heal naturally
- helps remove excess oil and gives good health to the skin",Skin Care
Yogurt and Black Pepper,"
- Yogurt
- black pepperPreparation: Apply yogurt and black pepper on the face
- keep for some time
- then massage and wash it out after  minutesHealth Benefits: Black pepper helps increase oxygen to the skin
- removes inflammation and infections","
- Apply yogurt and black pepper on the face, keep for some time, then massage and wash it out after  minutes","
- Black pepper helps increase oxygen to the skin
- removes inflammation and infections Apply yogurt and black pepper on the face
- keep for some time
- then massage and wash it out after  minutesHealth Benefits: Black pepper helps increase oxygen to the skin
- removes inflammation and infections Black pepper helps increase oxygen to the skin
- removes inflammation and infections",Skin Care
Multani Mitti Fuller's Earth),"
- Multani mitti
- a little haldi (turmeric)
- a little sandalwood powder
- a little lemon
- a little milkPreparation: Mix all ingredients to make a paste Apply on the face
- let it dry completely
- then wash face with cold waterHealth Benefits: Cleansing and rejuvenating for the skinSource ""DIY SunScreen | How To Make Sunscreen at Home | Skin Care Tips for Beautiful Glowing Skins""","
- Mix all ingredients to make a paste Apply on the face, let it dry completely, then wash face with cold water","
- Cleansing and rejuvenating for the skinSource ""DIY SunScreen | How To Make Sunscreen at Home | Skin Care Tips for Beautiful Glowing Skins"" Mix all ingredients to make a paste Apply on the face
- let it dry completely
- then wash face with cold waterHealth Benefits: Cleansing and rejuvenating for the skinSource ""DIY SunScreen | How To Make Sunscreen at Home | Skin Care Tips for Beautiful Glowing Skins"" Cleansing and rejuvenating for the skinSource ""DIY SunScreen | How To Make Sunscreen at Home | Skin Care Tips for Beautiful Glowing Skins""",Skin Care
