title,description,ingredients,preparation,health_benefits,category,image_url,rating
 Avocado Spirulina Smoothie◦Ingredients: One ripe,,,"Blend the avocado and spirulina powder to make a smoothie15. Consume regularly15.◦Health Benefits: Avocado (rich in Vitamin C and E helps in skin repair and hydration15. Spirulina is nutrient-dense, has anti-inflammatory properties, helps build collagen, and promotes detoxification15. Together, they fight acne from within15.","Avocado (rich in Vitamin C and E helps in skin repair and hydration15. Spirulina is nutrient-dense, has anti-inflammatory properties, helps build collagen, and promotes detoxification15. Together, they fight acne from within15.",General,,
" Alum and Rose Water Toner◦Ingredients: A small amount of alum powder, rose",,,"Dissolve alum powder in rose water15. Dab it on cleansed skin using a cotton pad daily15.◦Health Benefits: Alum (astringent and antibacterial) helps tighten pores, preventing clogging and formation of pimples15, and reduces excess oil production15. Rose water (soothing and hydrating) reduces inflammation and skin flare-ups15.","Alum (astringent and antibacterial) helps tighten pores, preventing clogging and formation of pimples15, and reduces excess oil production15. Rose water (soothing and hydrating) reduces inflammation and skin flare-ups15.",General,,
 Ayurvedic Manjistha and,,"Cus or Khus root, powdered Manjistha15.◦Preparation: Soak Cus or Khus root overnight in water15. Next Untitled 5 morning, mix this water with powdered Manjistha to create a smooth paste15. Apply it to cleansed skin, leave for 20 minutes, and then rinse off with warm water15. Use weekly15.◦Health Benefits: Manjistha (anti-inflammatory and detoxifying) is good for acne-prone skin15. Chandan or Sandalwood (cooling and soothing) reduces inflammation and irritation15. Cleanses, nourishes, and rejuvenates the skin15.","Soak Cus or Khus root overnight in water15. Next Untitled 5 morning, mix this water with powdered Manjistha to create a smooth paste15. Apply it to cleansed skin, leave for 20 minutes, and then rinse off with warm water15. Use weekly15.◦Health Benefits: Manjistha (anti-inflammatory and detoxifying) is good for acne-prone skin15. Chandan or Sandalwood (cooling and soothing) reduces inflammation and irritation15. Cleanses, nourishes, and rejuvenates the skin15.","Manjistha (anti-inflammatory and detoxifying) is good for acne-prone skin15. Chandan or Sandalwood (cooling and soothing) reduces inflammation and irritation15. Cleanses, nourishes, and rejuvenates the skin15.",General,,
 Coconut Oil as Natural,,"Coconut oil15.◦Preparation: Use coconut oil as a natural sunscreen when stepping out15.◦Health Benefits: Protects skin from UV damage15.Source16 ""DIY Remedies for acne | Natural Beauty | Dr. Hansaji Yogendra""","Use coconut oil as a natural sunscreen when stepping out15.◦Health Benefits: Protects skin from UV damage15.Source16 ""DIY Remedies for acne | Natural Beauty | Dr. Hansaji Yogendra""","Protects skin from UV damage15.Source16 ""DIY Remedies for acne | Natural Beauty | Dr. Hansaji Yogendra""",General,,
 Honey◦Ingredients: Honey16.◦Preparation: Apply a few,,,,"Good moisturizer, keeps skin moist and soft16.",General,,
 Aloe Vera Gel with Turmeric or Green Tea◦Ingredients: Aloe,,,"Take a little aloe vera gel, add turmeric, or add green tea16. Apply on the face, stay for some time, and then wash it out16.◦Health Benefits: Helps reduce inflammation and remove bacteria from the skin, allowing skin to heal naturally16, helps remove excess oil and gives good health to the skin16.","Helps reduce inflammation and remove bacteria from the skin, allowing skin to heal naturally16, helps remove excess oil and gives good health to the skin16.",General,,
 Yogurt and Black Pepper,,"Yogurt, black pepper16.◦Preparation: Apply yogurt and black pepper on the face, keep for some time, then massage and wash it out after 1015 minutes16.◦Health Benefits: Black pepper helps increase oxygen to the skin, removes inflammation and infections16.","Apply yogurt and black pepper on the face, keep for some time, then massage and wash it out after 1015 minutes16.◦Health Benefits: Black pepper helps increase oxygen to the skin, removes inflammation and infections16.","Black pepper helps increase oxygen to the skin, removes inflammation and infections16.",General,,
 Multani Mitti Fuller's Earth),,"Multani mitti, a little haldi (turmeric), a little sandalwood powder, a little lemon, a little milk16.◦Preparation: Mix all ingredients to make a paste16. Apply on the face, let it dry completely, then wash face with cold water16.◦Health Benefits: Cleansing and rejuvenating for the skin16.Source17 ""DIY SunScreen | How To Make Sunscreen at Home | Skin Care Tips for Beautiful Glowing Skins""","Mix all ingredients to make a paste16. Apply on the face, let it dry completely, then wash face with cold water16.◦Health Benefits: Cleansing and rejuvenating for the skin16.Source17 ""DIY SunScreen | How To Make Sunscreen at Home | Skin Care Tips for Beautiful Glowing Skins""","Cleansing and rejuvenating for the skin16.Source17 ""DIY SunScreen | How To Make Sunscreen at Home | Skin Care Tips for Beautiful Glowing Skins""",General,,
 Milk and Lemon Juice,,"Two tablespoons of raw milk, one teaspoon of lemon juice17.◦Preparation: Mix raw milk and lemon juice well17. Dab with a cotton ball and apply all over the exposed area17.◦Health Benefits: Raw milk helps in reversing suntan and protects from sun damage, aids in collagen production for natural glow, soothes sunburn17. Lemon juice (high in Vitamin C helps in reducing spots and pigmentation17.","Mix raw milk and lemon juice well17. Dab with a cotton ball and apply all over the exposed area17.◦Health Benefits: Raw milk helps in reversing suntan and protects from sun damage, aids in collagen production for natural glow, soothes sunburn17. Lemon juice (high in Vitamin C helps in reducing spots and pigmentation17.","Raw milk helps in reversing suntan and protects from sun damage, aids in collagen production for natural glow, soothes sunburn17. Lemon juice (high in Vitamin C helps in reducing spots and pigmentation17.",General,,
 Aloe Vera and Zinc Lotion,,"One teaspoon aloe vera gel, half teaspoon jojoba oil, 50 ml of water, 3 to 4 teaspoon of zinc oxide (for SPF 15, optional 1 capsule of Untitled 6 Vitamin E (avoid for oily/acne-prone skin)17.◦Preparation: Mix aloe vera gel, jojoba oil, and water to make a lotion17. Add zinc oxide and optionally Vitamin E17. Apply on exposed skin before going out17.◦Health Benefits: Aloe vera protects by blocking up to 20% of UV rays17. Zinc oxide works by scattering sun rays, preventing harmful UV radiation17.","Mix aloe vera gel, jojoba oil, and water to make a lotion17. Add zinc oxide and optionally Vitamin E17. Apply on exposed skin before going out17.◦Health Benefits: Aloe vera protects by blocking up to 20% of UV rays17. Zinc oxide works by scattering sun rays, preventing harmful UV radiation17.","Aloe vera protects by blocking up to 20% of UV rays17. Zinc oxide works by scattering sun rays, preventing harmful UV radiation17.",General,,
 Aloe Vera and Glycerin Sunscreen,,"Aloe vera juice, a few drops of glycerin, rose water17.◦Preparation: Combine all ingredients in a spray bottle and spray on any exposed part of the body17.◦Health Benefits: Aloe vera is a natural and effective sunblock17. Glycerin acts as a barrier against sun-damaging rays and environmental pollutants, and helps in locking moisture17.Source18...: ""Easy ways to prevent indigestion | Dr. Hansaji Yogendra""","Combine all ingredients in a spray bottle and spray on any exposed part of the body17.◦Health Benefits: Aloe vera is a natural and effective sunblock17. Glycerin acts as a barrier against sun-damaging rays and environmental pollutants, and helps in locking moisture17.Source18...: ""Easy ways to prevent indigestion | Dr. Hansaji Yogendra""","Aloe vera is a natural and effective sunblock17. Glycerin acts as a barrier against sun-damaging rays and environmental pollutants, and helps in locking moisture17.Source18...: ""Easy ways to prevent indigestion | Dr. Hansaji Yogendra""",General,,
 Asafoetida Hing),,"5 grams of asafoetida (hing), a glass of hot water, a little sugar18.◦Preparation: Dissolve asafoetida and sugar in hot water and drink18....◦Health Benefits: Provides quick relief from indigestion and flatulence19.",Dissolve asafoetida and sugar in hot water and drink18....◦Health Benefits: Provides quick relief from indigestion and flatulence19.,Provides quick relief from indigestion and flatulence19.,General,,
" Ginger, Lemon Juice, and Honey",,"A spoonful of ginger juice, a spoonful of lemon juice, 2 spoons of honey, warm water19....◦Preparation: Mix ginger juice, lemon juice, and honey together, and take it with warm water20.◦Health Benefits: Very good treatment for indigestion, flatulence, and acidity20.","Mix ginger juice, lemon juice, and honey together, and take it with warm water20.◦Health Benefits: Very good treatment for indigestion, flatulence, and acidity20.","Very good treatment for indigestion, flatulence, and acidity20.",General,,
 Baking Soda,,"A teaspoon full of baking soda, a glass of cold water20.◦Preparation: Dissolve baking soda in cold water and drink it slowly20....◦Health Benefits: Helps in reducing the acidic feeling in the stomach, provides temporary but quick relief from indigestion20....","Dissolve baking soda in cold water and drink it slowly20....◦Health Benefits: Helps in reducing the acidic feeling in the stomach, provides temporary but quick relief from indigestion20....","Helps in reducing the acidic feeling in the stomach, provides temporary but quick relief from indigestion20....",General,,
 Curd and,,"Cooked rice, fresh curd, optional seasoning (jeera, asafoetida)21....◦Preparation: Mix cooked rice with fresh curd, add optional seasoning22. Eat after five to six hours (allows for slight fermentation)22. Consume cool22.◦Health Benefits: Lactobacillus enzymes developed during fermentation help in improving digestion22. Curd is an excellent probiotic for a healthy gut22.Source23 ""Glowing skin naturally | Skincare for dry & oily skin| Natural remedies for glowing skin""","Mix cooked rice with fresh curd, add optional seasoning22. Eat after five to six hours (allows for slight fermentation)22. Consume cool22.◦Health Benefits: Lactobacillus enzymes developed during fermentation help in improving digestion22. Curd is an excellent probiotic for a healthy gut22.Source23 ""Glowing skin naturally | Skincare for dry & oily skin| Natural remedies for glowing skin""","Lactobacillus enzymes developed during fermentation help in improving digestion22. Curd is an excellent probiotic for a healthy gut22.Source23 ""Glowing skin naturally | Skincare for dry & oily skin| Natural remedies for glowing skin""",General,,
 Honey and Rose Water Face,,"Half tablespoon honey, 1 tablespoon of rose water23.◦Preparation: Mix honey and rose water23. Apply gently on the face, massage, and leave it for 20 minutes before washing out23.◦Health Benefits: Honey is moisturizing, and rose water has toning properties, ideal for dry or mature skin23.","Mix honey and rose water23. Apply gently on the face, massage, and leave it for 20 minutes before washing out23.◦Health Benefits: Honey is moisturizing, and rose water has toning properties, ideal for dry or mature skin23.","Honey is moisturizing, and rose water has toning properties, ideal for dry or mature skin23.",General,,
 Aloe Vera Gel and Turmeric,,"1 tablespoon of aloe vera gel, Untitled 7 a pinch of turmeric23.◦Preparation: Mix aloe vera gel with turmeric to form a cooling paste23. Apply to any red or inflamed areas, keep on for 15 minutes, and rinse off23.◦Health Benefits: Fresh aloe vera gel and turmeric soothe and heal skin inflammation or irritation due to their anti-inflammatory and antioxidant properties23.","Mix aloe vera gel with turmeric to form a cooling paste23. Apply to any red or inflamed areas, keep on for 15 minutes, and rinse off23.◦Health Benefits: Fresh aloe vera gel and turmeric soothe and heal skin inflammation or irritation due to their anti-inflammatory and antioxidant properties23.",Fresh aloe vera gel and turmeric soothe and heal skin inflammation or irritation due to their anti-inflammatory and antioxidant properties23.,General,,
